Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,2.460000,2.460000,2.340000,2.410000,2.410000,18800
2021-11-05,2.400000,2.520000,2.390000,2.420000,2.420000,10000
2021-11-08,2.430000,2.500000,2.430000,2.460000,2.460000,18100
2021-11-09,2.450000,2.500000,2.400000,2.420000,2.420000,24200
2021-11-10,2.400000,2.450000,2.350000,2.390000,2.390000,18600
2021-11-11,2.390000,2.390000,2.300000,2.350000,2.350000,75200
2021-11-12,2.330000,2.390000,2.280000,2.300000,2.300000,44500
2021-11-15,2.340000,2.370000,2.200000,2.280000,2.280000,28900
2021-11-16,2.230000,2.280000,2.150000,2.220000,2.220000,31600
2021-11-17,2.270000,2.280000,2.200000,2.220000,2.220000,21300
2021-11-18,2.280000,2.280000,2.050000,2.060000,2.060000,25300
2021-11-19,2.060000,2.060000,2.010000,2.030000,2.030000,20100
2021-11-22,2.082000,3.380000,1.970000,2.110000,2.110000,19378100
2021-11-23,1.834000,2.430000,1.834000,2.420000,2.420000,918900
2021-11-24,2.260000,2.650000,2.150000,2.590000,2.590000,409700
2021-11-26,2.380000,2.525000,2.330000,2.360000,2.360000,78700
2021-11-29,2.380000,2.480000,2.140000,2.230000,2.230000,133600
2021-11-30,2.170000,2.260000,1.990000,2.110000,2.110000,202900
2021-12-01,2.100000,2.180000,2.000000,2.030000,2.030000,66700
2021-12-02,2.030000,2.150000,1.950000,1.950000,1.950000,68800
2021-12-03,2.010000,2.100000,1.860000,2.040000,2.040000,51100
2021-12-06,1.970000,2.032000,1.850000,1.930000,1.930000,38600
2021-12-07,1.990000,2.040000,1.930000,1.970000,1.970000,34500
2021-12-08,1.970000,2.060000,1.930000,2.000000,2.000000,91700
2021-12-09,2.020000,2.100000,1.920000,2.080000,2.080000,109700
2021-12-10,2.190000,2.240000,2.060000,2.080000,2.080000,73100
2021-12-13,2.100000,2.920000,2.090000,2.550000,2.550000,5069700
2021-12-14,2.460000,3.190000,2.260000,2.830000,2.830000,2412000
2021-12-15,2.899000,3.380000,2.540000,2.720000,2.720000,3992900
2021-12-16,2.820000,3.040000,2.480000,2.980000,2.980000,780700
2021-12-17,2.900000,3.070000,2.720000,2.880000,2.880000,327400
